youtube views- m,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,gender,shazam,,,
1076.335,0.449,-9.211,1,0.109,0.0332,0.552,0.357,77.169,198973,1,6.154468,,,
851.876,0.613,-4.88,1,0.145,0.258,0.123,0.473,75.023,166606,1,2.443262,,youtube views- m,מספר הצפיות בyoutube
597.137,0.535,-6.09,0,0.0898,0.117,0.131,0.14,159.847,218147,1,14.683814,,energy,מדד תפיסתי של עוצמה (0-עוצמה נמוכה 1-עוצמה גבוהה)
697.901,0.559,-8.011,1,0.117,0.58,0.112,0.439,140.124,221440,1,5.546076,,loudness,קולניות הרעש הכללי של רצועת השיר בדציבלים
298.61,0.626,-5.833,1,0.125,0.0589,0.396,0.35,91.03,217925,1,5.737244,,mode,האם השיר מנוגן במיג'ור(1) או מנור (0)
286.507,0.563,-5.843,1,0.0454,0.354,0.136,0.374,145.028,231267,1,6.509684,,speechiness,כמות המילים שמדוברות בשיר
1047.872,0.726,-3.998,0,0.129,0.099,0.372,0.65,136.048,253390,0,8.688474,,acousticness,"עד כמה השיר אקוסטי (0-פחות, 1- יותר)"
608.284,0.862,-3.24,0,0.11,0.037,0.0814,0.592,123.994,214847,0,10.267804,,liveness,נוכחות של קהל בהקלטה
555.54,0.544,-5.975,1,0.0943,0.0403,0.0824,0.51,97.028,217947,0,4.968809,,valence,"האם השיר חיובי (0-לא, 1-כן)"
665.943,0.88,-2.384,0,0.0504,0.205,0.128,0.534,95.079,202621,1,8.772567,,tempo,מקצב השיר
1643.145,0.523,-4.333,1,0.03,0.184,0.132,0.394,104.988,217307,0,12.8463,,duration_ms,משך השיר
407.188,0.566,-7.23,0,0.2,0.349,0.34,0.218,83.903,239836,1,6.578744,,gender,מין הזמר המבצע
338.171,0.909,-6.474,1,0.0705,0.0891,0.119,0.757,93.394,210747,1,4.794998,,shazam,כמות החיפושים של השיר באפליקציה
2489.861,0.541,-6.825,1,0.0505,0.568,0.13,0.448,124.959,235545,1,8.620778,,,
280.118,0.657,-3.061,1,0.0449,0.171,0.112,0.437,107.01,184732,1,6.454898,,,
237.961,0.633,-4.946,1,0.0597,0.0605,0.0926,0.552,96.924,232187,1,5.601623,,משתנה מוסבר,shazam
865.595,0.713,-5.507,0,0.0594,0.04,0.294,0.354,121.993,205920,0,4.856199,,,
1771.709,0.773,-4.736,0,0.0549,0.0364,0.334,0.711,180.073,173628,1,1.692096,,,
479.539,0.537,-5.723,0,0.0804,0.556,0.102,0.711,128.009,135090,1,1.868984,,,
52.358,0.581,-7.495,1,0.27,0.00104,0.105,0.595,140.022,181263,1,2.671539,,,
386.147,0.809,-4.057,1,0.0474,0.194,0.165,0.55,92.213,210773,1,6.89447,,,
2003.61,0.675,-3.445,0,0.214,0.542,0.0595,0.442,96.507,417920,1,4.616458,,,
152.284,0.789,-3.874,1,0.0722,0.0161,0.451,0.717,142.929,131064,1,7.043444,,,
105.923,0.854,-5.114,0,0.463,0.0169,0.124,0.152,120.274,203418,1,8.079072,,,
1973.177,0.7,-6.021,0,0.0694,0.00261,0.153,0.608,116.073,209320,0,10.167319,,,
4520.946,0.652,-3.183,0,0.0802,0.581,0.0931,0.931,95.977,233713,1,19.719978,,,
150.668,0.648,-5.626,1,0.0449,0.0956,0.134,0.338,143.955,201707,1,4.300056,,,
856.396,0.772,-6.61,1,0.0848,0.0476,0.0646,0.589,153.995,164205,0,6.13299,,,
470.124,0.391,-9.144,0,0.242,0.469,0.297,0.437,134.021,119133,1,0.968148,,,
2222.641,0.448,-6.312,1,0.0232,0.163,0.106,0.168,95.05,263400,1,19.749066,,,
876.8,0.559,-7.442,1,0.12,0.0236,0.101,0.342,97.994,232959,1,5.865102,,,
709.527,0.636,-4.546,0,0.0437,0.0441,0.35,0.565,105.005,222653,0,11.411921,,,
190.578,0.538,-5.408,0,0.0382,0.0689,0.196,0.291,143.95,223347,1,2.279572,,,
236.496,0.691,-8.354,1,0.196,0.156,0.418,0.0796,99.976,156600,1,7.078389,,,
1929.154,0.889,-3.655,1,0.0429,0.0328,0.0925,0.649,96.024,173720,1,0.165207,,,
74.158,0.68,-7.648,0,0.321,0.555,0.116,0.319,89.391,173800,1,6.409006,,,
207.312,0.713,-4.333,1,0.0747,0.181,0.137,0.243,129.923,226973,0,7.168151,,,
351.183,0.807,-4.59,0,0.0432,0.129,0.183,0.305,124.946,197993,0,5.562098,,,
574.384,0.308,-10.068,1,0.029,0.883,0.0984,0.52,64.934,121887,1,2.359401,,,
609.484,0.77,-5.335,1,0.149,0.176,0.118,0.163,125.905,184560,1,13.229737,,,
175.541,0.749,-5.916,0,0.516,0.142,0.0713,0.659,90.09,221013,1,4.045216,,,
1496.952,0.848,-3.456,1,0.0506,0.183,0.409,0.828,95,200480,1,2.995942,,,
434.016,0.73,-3.714,1,0.222,0.00513,0.124,0.446,155.008,312820,1,6.054964,,,
101.873,0.779,-4.449,0,0.0972,0.0543,0.636,0.768,94.023,221653,1,2.871207,,,
140.748,0.834,-2.867,0,0.045,0.374,0.0586,0.687,128.005,215760,1,4.17895,,,
324.996,0.859,-4.877,0,0.0996,0.0185,0.0215,0.926,105.115,217289,1,2.205934,,,
221.973,0.724,-4.856,1,0.0486,0.0945,0.12,0.508,102.061,207905,0,3.650302,,,
107.123,0.721,-5.665,0,0.122,0.298,0.173,0.468,148.066,212120,1,7.208382,,,
526.002,0.598,-4.929,1,0.036,0.218,0.35,0.172,134.045,228373,1,3.555332,,,
130.705,0.428,-8.28,1,0.206,0.149,0.114,0.333,100.007,172800,1,2.064244,,,
446.269,0.792,-2.749,1,0.0452,0.191,0.167,0.671,100.015,214290,1,7.046391,,,
1133.682,0.375,-8.279,1,0.0491,0.652,0.173,0.534,91.92,201000,1,6.153831,,,
97.81,0.599,-5.042,1,0.224,0.147,0.109,0.755,133.123,216632,1,1.83796,,,
1291.91,0.78,-4.374,0,0.128,0.0622,0.081,0.666,124.949,204347,1,12.691663,,,
796.391,0.387,-9.127,1,0.412,0.088,0.136,0.376,125.978,179405,1,0.725526,,,
397.056,0.785,-4.65,1,0.0333,0.327,0.203,0.655,106.046,194408,1,4.107707,,,
161.742,0.764,-4.399,1,0.038,0.0476,0.0543,0.582,121.958,163216,1,7.528457,,,
360.327,0.75,-6.366,0,0.231,0.00264,0.109,0.401,155.096,182707,1,3.501883,,,
1613.443,0.745,-3.695,0,0.0464,0.354,0.104,0.82,94.014,188560,0,2.696392,,,
361.103,0.683,-2.881,0,0.117,0.0372,0.137,0.603,96.133,186987,0,3.245184,,,
68.487,0.412,-8.074,1,0.124,0.0164,0.104,0.422,154.983,238614,1,2.142121,,,
311.089,0.533,-9.74,0,0.0412,0.0172,0.103,0.329,131.036,146520,1,0.889427,,,
288.974,0.712,-7.321,1,0.066,0.0573,0.13,0.487,140.025,211360,1,4.329637,,,
391.349,0.761,-3.093,1,0.0853,0.256,0.17,0.286,141.971,180823,1,5.183418,,,
526.451,0.658,-5.934,1,0.0558,0.0233,0.237,0.268,145.031,197547,0,1.488121,,,
1459.297,0.788,-4.323,1,0.0785,0.0482,0.0753,0.839,170.019,220117,1,1.34265,,,
159.69,0.649,-5.892,0,0.0385,0.0817,0.0934,0.421,93.95,194680,1,7.625415,,,
472.767,0.597,-5.131,0,0.0611,0.0788,0.1,0.419,110.001,199849,1,9.650591,,,
1640.543,0.798,-4.206,0,0.229,0.153,0.0618,0.591,95.948,212500,1,6.324992,,,
77.815,0.708,-4.154,1,0.0473,0.0337,0.0841,0.742,103.073,174800,0,2.606415,,,
266,0.795,-5.115,0,0.0504,0.0417,0.0717,0.754,79.028,163253,1,16.578543,,,
161.275,0.677,-4.979,1,0.093,0.0762,0.111,0.188,100.584,211440,1,4.415885,,,
90.892,0.628,-5.456,1,0.201,0.0739,0.108,0.406,145.905,276147,1,2.060656,,,
375.66,0.731,-6.343,1,0.0868,0.0534,0.308,0.191,87.908,268867,1,6.904401,,,
66.015,0.654,-5.944,1,0.153,0.627,0.071,0.438,180.024,227533,1,1.268204,,,
1136.115,0.804,-4.183,1,0.0363,0.215,0.253,0.492,123.146,220293,1,3.106844,,,
567.255,0.895,-3.112,0,0.0589,0.165,0.0501,0.794,94.968,201526,0,3.744013,,,
1919.571,0.813,-3.023,0,0.0561,0.03,0.255,0.839,79.997,232550,0,1.31334,,,
250.97,0.519,-6.531,1,0.143,0.202,0.108,0.158,94.981,175230,1,1.360433,,,
525.581,0.296,-10.109,0,0.0333,0.934,0.095,0.12,115.284,200186,1,3.431924,,,
73.814,0.816,-5.474,1,0.269,0.00299,0.159,0.498,181.967,190288,1,1.698062,,,
684.06,0.621,-6.638,0,0.102,0.000282,0.0958,0.421,150.011,177000,1,4.758204,,,
922.81,0.805,-4.249,1,0.0752,0.315,0.203,0.555,93.983,176133,1,1.330248,,,
210.105,0.299,-7.365,1,0.0263,0.779,0.123,0.356,94.992,259550,1,3.306593,,,
1431.12,0.738,-6.073,0,0.247,0.328,0.198,0.748,198.075,184720,1,2.762888,,,
631.028,0.539,-6.351,1,0.0421,0.199,0.165,0.394,136.949,202547,1,4.485296,,,
917.592,0.664,-7.11,0,0.0607,0.165,0.0937,0.626,98.015,226800,1,1.506828,,,
458.038,0.679,-4.985,0,0.135,0.18,0.068,0.619,166.008,193456,0,1.616818,,,
430.375,0.493,-6.688,1,0.0735,0.128,0.127,0.844,94.016,197120,0,0.59513,,,
220.602,0.768,-5.991,1,0.0394,0.0119,0.325,0.486,123.07,213309,1,8.355749,,,
128.418,0.346,-9.309,0,0.53,0.035,0.108,0.562,119.958,142273,1,2.231963,,,
213.839,0.505,-7.621,1,0.253,0.535,0.104,0.419,91.97,197437,1,5.183721,,,
250.15,0.57,-7.066,0,0.133,0.847,0.112,0.689,129.953,95467,1,0.891117,,,
64.765,0.619,-7.005,1,0.0386,0.0716,0.122,0.284,125.046,217440,1,1.462815,,,
108.367,0.658,-6.318,1,0.0456,0.245,0.0919,0.33,105.076,205748,0,2.934726,,,
258.366,0.76,-4.706,1,0.342,0.0733,0.0865,0.639,135.702,260000,1,2.047539,,,
1.216,0.437,-6.593,0,0.039,0.101,0.106,0.0967,180.043,239000,1,12.171256,,,
82.954,0.586,-6.319,1,0.0362,0.697,0.0813,0.443,126.684,196373,1,9.246105,,,
,0.619,-7.005,1,0.0386,0.0716,0.122,0.284,125.046,217440,1,1.462815,,,
